 wait_event_type | wait_event | state  |                                                                              query                                                                              | count 
-----------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+-------
 Client          | ClientRead | idle   | commit                                                                                                                                                          |    17
 Client          | ClientRead | idle   | rollback                                                                                                                                                        |     2
                 |            | active |                                                                                                                                                                +|     1
                 |            |        |                 SELECT e.id, e.aggregate_type, e.aggregate_id, e.auction_id, e.seq, e.event_type, e.payload_json, e.created_at                                 +| 
                 |            |        |                 FROM outbox_events e                                                                                                                           +| 
                 |            |        |                 JOIN outbox_delivery d ON d.outbox_id = e.id                                                                                                   +| 
                 |            |        |                 WHERE (                                                                                                                                        +| 
                 |            |        |                     (d.status IN ('PENDING','FAILED') AND d.next_attempt_at <= now())                                                                          +| 
                 |            |        |                     OR (d.status = 'PUBLISHING' AND d.locked_until < now())                                                                                    +| 
                 |            |        |                   )                                                                                                                                            +| 
                 |            |        |                   AND NOT EXISTS (                                                                                                                             +| 
                 |            |        |                     SELECT 1                                                                                                                                   +| 
                 |            |        |                     FROM outbox_events e2                                                                                                                      +| 
                 |            |        |                     JOIN outbox_delivery d2 ON d2.outbox_id = e2.id                                                                                            +| 
                 |            |        |                     WHERE e2.auction_id = e.auction_id                                                                                                         +| 
                 |            |        |                       AND e2.seq < e.seq                                                                                                                       +| 
                 |            |        |                       AND d2.status NOT IN ('PUBLISHED','DEAD')                                                                                                +| 
                 |            |        |                   )                                                                                                                                            +| 
                 |            |        |                 ORDER BY e.created_at, e.id                                                                                                                    +| 
                 |            |        |                 LIMIT 1                                                                                                                                        +| 
                 |            |        |                 FOR UPDATE OF d SKIP LOCKED                                                                                                                    +| 
                 |            |        |                                                                                                                                                                 | 
                 |            | active | SELECT wait_event_type, wait_event, state, query, count(*) FROM pg_stat_activity WHERE datname='live_auction' GROUP BY 1,2,3,4 ORDER BY count(*) DESC LIMIT 20; |     1
(4 rows)

